source_id,target_id
2323,1829
509,1829
1723,1829
1265,2531
2183,2531
708,2531
2531,1265
66,1265
1630,1265
911,1265
2498,1265
1604,1858
2635,2351
2150,2351
1896,2351
1586,2351
977,2351
1854,1863
1248,1863
717,1863
2113,1502
1561,1502
2206,1502
218,1502
553,1972
1780,1005
810,1005
2173,1005
1835,2119
443,2119
1279,1686
615,1686
310,2271
1771,2271
786,1812
1763,1812
1225,1812
571,1812
200,971
2335,971
925,1704
1403,1704
1422,1704
237,1704
1942,1704
816,1295
261,1295
466,1295
28,1295
1010,2415
1306,2415
823,2415
1626,2415
1920,1560
755,1560
1691,1560
412,1560
663,1560
1831,720
234,720
761,720
2268,720
433,720
1290,2373
1590,1089
2182,1089
1876,1089
2162,1089
635,1089
1226,2685
1490,2685
1204,1680
543,1680
1383,1680
1700,1680
2198,1680
1165,924
1560,1920
2642,1920
882,1920
2534,1920
200,1920
2659,1920
2305,1920
1453,623
1214,623
195,623
2639,623
885,1428
2514,1428
670,1428
2601,1428
406,1428
2405,1960
2335,1960
973,1960
1708,1960
2281,1447
1253,190
2278,190
1184,431
1939,431
2062,431
2206,431
2088,431
2634,431
945,1570
583,86
374,86
1725,86
285,86
848,1909
1155,1909
2533,1909
654,1909
2567,1909
681,1909
1817,1909
15,1909
1711,1909
2062,2654
2284,2375
2243,2375
1911,2375
287,2247
22,2247
1612,2247
1283,2247
2292,2247
2151,2247
1585,2247
1374,2247
2014,1199
904,1199
1907,1199
1078,2185
685,2185
2584,2185
1873,2185
1680,1204
586,1204
2615,1204
794,1204
2484,1204
24,1204
1968,1204
12,2133
888,2133
1042,2133
147,1439
564,1439
2000,1439
1441,1439
204,2040
1783,2040
258,203
1253,203
832,203
568,203
1417,203
1205,203
165,96
1703,96
1142,96
1064,228
2349,228
2498,228
1671,228
1112,228
1942,228
1797,2345
67,2345
459,1978
2644,1978
882,617
1847,617
2139,617
572,617
911,617
2662,617
2413,617
148,617
177,617
911,613
1403,613
1518,2362
94,342
1337,342
1906,342
92,342
2669,342
600,342
2402,2045
822,2045
1872,2045
402,2045
2606,2045
1085,1231
2062,1231
1606,1231
1765,1544
251,1544
2014,1964
290,1964
1698,1964
575,1964
1241,1964
642,1964
2638,1964
1982,1964
2216,1964
496,1964
625,1964
2019,1964
2258,135
1147,135
364,135
1554,135
490,558
2357,1466
1015,610
2313,610
1445,610
1762,610
1360,610
1546,610
2062,610
353,610
522,610
1228,610
1199,2014
1964,2014
2442,2014
103,1222
121,1222
2206,1222
2088,1222
1607,1222
85,2108
282,173
2218,2622
401,2622
257,2622
132,858
178,858
1312,858
1241,858
2216,858
652,858
319,858
2019,858
490,858
1175,858
2522,1917
187,439
2575,439
2064,439
2614,2048
2062,2048
2498,2048
841,570
1651,570
565,570
1441,570
1603,570
791,570
1638,570
1448,131
1843,131
2588,1050
2498,1050
665,1050
1085,1378
2062,1378
692,62
1830,62
2424,62
2347,62
2145,62
2540,62
1183,62
2170,62
2062,62
371,62
532,62
2600,62
418,1859
2462,1859
1561,1859
1798,1859
2206,1859
434,1859
1097,1859
1341,1859
1175,1859
694,2232
1053,2232
1563,2232
1591,2232
2235,2232
1240,2232
1766,593
627,593
523,593
2502,1959
388,1959
2349,1106
2063,1106
212,1106
2007,2158
1841,2158
265,11
142,11
2476,11
533,1492
853,1492
13,1492
230,1492
1462,2093
2484,2093
2538,1086
1517,1086
2232,694
2272,694
1591,694
2235,694
656,694
2219,1928
2015,1928
2110,1928
1078,1538
1126,1538
1403,1538
264,1538
2040,204
1880,204
485,204
593,1766
2696,1766
857,1766
964,1766
1000,1766
487,1766
1275,1766
1207,1766
1398,1766
2638,1766
704,1766
2282,1766
169,1766
130,1766
121,1766
1557,1766
922,1766
2442,1766
1713,1766
582,1766
958,1766
1387,1766
1522,1766
268,1766
1101,1766
1393,1766
360,1766
195,1766
1521,1766
1415,1766
1373,1766
1091,1766
1159,1766
2060,1766
523,1766
1481,1766
1821,2267
2225,2267
480,2267
658,2267
1682,2267
1652,2267
832,2267
2651,2267
568,2267
445,2267
1592,2188
1727,2188
229,2188
2062,2188
2699,1178
1756,1178
779,1178
1489,1178
467,1178
1970,1178
1871,2017
1991,2017
2299,95
1720,95
2617,95
1932,95
1717,2031
2462,2031
2256,2031
1064,2031
1320,2031
2260,2031
1088,2031
1185,2031
2002,2031
1968,2031
1804,2031
1331,2581
260,2581
245,2581
1505,2581
889,2581
927,2581
1471,2581
426,2581
1280,2581
218,2581
319,2581
2121,2581
93,2581
2426,2581
150,2581
2606,2581
400,2581
2359,2581
2466,2581
2454,2581
1141,2581
2013,397
1888,1395
2144,1395
180,2455
1428,885
2514,885
670,885
2601,885
406,885
52,885
218,500
2471,500
810,1364
2062,1364
2528,1364
455,394
38,394
548,394
724,394
1055,394
1067,394
867,394
1402,394
1831,2458
950,2458
1934,2458
2506,2458
2039,2458
1430,2458
1765,330
1712,330
2219,330
1339,330
610,1015
1695,1015
311,1015
1228,1015
845,1980
2054,1366
2370,1366
870,1366
668,1366
1404,1915
314,1915
947,1915
394,455
145,455
2164,455
2311,455
1598,455
1457,455
312,455
950,455
9,455
783,455
2686,455
1076,455
2583,455
420,455
2432,455
597,455
2391,455
1530,455
2524,455
175,455
276,455
498,455
2293,455
2482,455
249,455
1213,455
2543,455
744,455
1221,455
408,455
2151,455
1889,455
531,2036
219,2036
2111,2036
1296,2036
1117,2036
2053,341
1914,341
2062,341
174,341
1772,341
1540,341
950,1832
2318,1832
1055,1832
7,1832
2575,1550
2683,1550
2453,1550
420,2263
1882,2263
71,2263
1094,1026
2631,2330
1356,2330
396,1856
712,1856
2123,807
2071,807
2061,807
1420,807
250,807
99,807
1880,807
107,807
1897,807
446,807
968,807
364,807
1407,807
1770,807
360,807
141,807
1188,807
643,807
1479,807
2626,2337
2671,2337
1394,2337
2149,2337
2091,2337
2492,2337
1132,829
976,829
1359,829
1045,829
1047,829
1558,1019
40,1019
2399,1019
2439,1019
1168,1019
238,1019
1354,1019
1428,2514
885,2514
2601,2514
406,2514
1428,670
885,670
406,670
52,670
455,145
950,145
2620,145
1235,145
1060,145
1104,2042
2665,2042
1457,1656
950,1656
1401,1656
1055,1656
744,1656
1333,1656
52,2396
231,770
1633,770
2589,770
1876,770
1448,1696
1416,1696
1766,2696
2364,2696
2060,2696
58,1769
2702,1769
2626,1166
5,1166
1477,1166
1487,1166
2492,1166
455,2164
2371,2164
2473,2164
1055,2164
1616,2164
926,2164
390,2164
744,2164
2268,2164
674,226
2051,279
1889,279
2050,279
106,1329
279,2051
2050,2051
1878,2051
