node_id,label
37,2
50,3
83,1
85,6
101,3
123,3
132,0
166,5
230,0
234,1
245,0
253,2
263,3
299,6
319,0
345,4
398,3
413,3
417,3
437,0
468,6
473,3
500,0
513,1
516,1
535,2
540,3
544,3
592,1
625,4
647,5
682,4
688,5
707,5
752,3
774,3
814,0
828,0
835,0
860,4
866,1
867,5
932,3
960,3
987,3
992,0
1002,1
1013,2
1020,1
1026,0
1034,2
1038,0
1050,2
1059,2
1069,0
1075,3
1123,2
1143,0
1145,5
1226,5
1250,1
1261,6
1275,3
1284,4
1285,3
1312,0
1331,0
1375,1
1384,6
1397,1
1426,3
1427,3
1450,3
1455,3
1466,2
1476,2
1508,6
1519,5
1552,3
1570,6
1651,0
1653,3
1656,5
1671,3
1721,6
1740,3
1784,3
1790,5
1796,6
1808,4
1811,6
1820,4
1832,1
1835,4
1836,4
1845,6
1871,6
1872,0
1894,3
1952,5
1957,4
1967,0
1970,4
1972,3
1977,3
1979,3
1988,5
2037,3
2079,5
2102,1
2128,3
2138,2
2164,1
2173,1
2174,5
2191,0
2295,4
2317,5
2328,2
2332,0
2348,1
2358,4
2379,0
2435,0
2474,3
2494,0
2500,2
2562,3
2563,5
2573,3
2625,4
2635,3
2643,0
2689,6
2696,5
